AEROVIA,FIXO
A301 ,RBC        
A301 ,LET        
A301 ,JULIA      
A301 ,NEGRA      
A301 ,PALIO      
A301 ,SPRIN      
A301 ,VILUX      
A301 ,RCO        
A301 ,SWGN       
A301 ,SSAC       
A301 ,VUKEB      
A301 ,SBMD       
A301 ,SBTT       
A304 ,SCB        
A304 ,SBCT       
A304 ,SBGL       
A304 ,SBGR       
A304 ,SBKP       
A304 ,ATNAS      
A304 ,BRU        
A304 ,BUVER      
A304 ,CGR        
A304 ,PREGO      
A304 ,GRADE      
A304 ,MANSE      
A304 ,PORVA      
A304 ,BCO        
A304 ,CPN        
A304 ,CUB        
A304 ,NEGRO      
A304 ,SBCG       
A304 ,SBCR       
A304 ,PORTE      
A304 ,SIOGA      
A304 ,URP        
A304 ,GRD        
A304 ,CREMA      
A304 ,SBCA       
A304 ,SBFL       
A304 ,TOSAR      
A304 ,VTR        
A304 ,SBRJ       
A304 ,SSTL       
A304 ,FRAUD      
A304 ,ISIBI      
A304 ,IVSOB      
A304 ,MOMVA      
A304 ,OGNAV      
A304 ,SBAE       
A304 ,MORPI      
A304 ,NIBGA      
A304 ,OGRUN      
A304 ,SBCX       
A304 ,SBFI       
A304 ,SBSP       
A304 ,SBTG       
A304 ,DOGSU      
A304 ,SBPA       
A304 ,CANOP      
A305 ,PTS        
A305 ,UGELO      
A305 ,SASNU      
A305 ,POR        
A305 ,FOZ        
A305 ,SBKP       
A309 ,SBGR       
A309 ,PREGO      
A309 ,GENUS      
A309 ,POR        
A309 ,PTS        
A309 ,SBPA       
A309 ,SBPK       
A309 ,SSBN       
A309 ,SMA        
A309 ,UGURA      
A309 ,DAISE      
A309 ,LJS        
A309 ,SASNU      
A309 ,SBMG       
A309 ,GAMOT      
A309 ,SBGL       
A309 ,SBSP       
A309 ,PNG        
A309 ,SBCG       
A309 ,OGNAV      
A309 ,OAS        
A309 ,UMLEV      
A309 ,ARSAG      
A309 ,SBCT       
A309 ,MLO        
A309 ,SJRG       
A310 ,ASUMA      
A310 ,MLO        
A310 ,BGE        
A314 ,SBBG       
A314 ,BGE        
A314 ,ISALA      
A314 ,ORATO      
A314 ,POR        
A314 ,SBPA       
A314 ,SMA        
A314 ,OAS        
A314 ,PAMUG      
A314 ,SDAG       
A428 ,PREGO      
A428 ,KUDRI      
A428 ,CGO        
A428 ,BERLI      
A428 ,GEMAS      
A428 ,KARIU      
A428 ,LON        
A428 ,SCB        
A428 ,RDE        
A428 ,SBSP       
A428 ,OBMAV      
A428 ,SBCA       
A428 ,SBKP       
A428 ,SASNU      
A428 ,SBGR       
A428 ,CPN        
A428 ,TOGON      
A428 ,RAMOS      
A428 ,SBCT       
A428 ,SBMG       
A428 ,OGNAV      
A428 ,EKABI      
A428 ,SBLO       
A428 ,SBMT       
A428 ,IVSOB      
A428 ,SDCO       
A428 ,ISIBI      
A428 ,OGRUN      
A430 ,RBC        
A430 ,SBBR       
A430 ,SBCY       
A430 ,NEKET      
A430 ,TOSAR      
A430 ,INASU      
A430 ,CGR        
A430 ,CIA        
A430 ,TENEL      
A430 ,UGINA      
A430 ,PTP        
A430 ,RETER      
A430 ,AMALO      
A430 ,PAGUS      
A430 ,SILIC      
A430 ,GRD        
A430 ,FLOTE      
A430 ,RETIR      
A430 ,SBCG       
A430 ,KOVKO      
A430 ,LUVLU      
A430 ,NIGVA      
A430 ,UGAXO      
A430 ,NITLU      
A430 ,AKSUL      
A430 ,ANLAT      
A430 ,ARULA      
A430 ,SBGL       
A430 ,SBPJ       
A430 ,RCO        
A431 ,SBFI       
A431 ,SBSP       
A431 ,GRD        
A431 ,CTB        
A431 ,FOZ        
A431 ,GUVEP      
A431 ,ILBER      
A431 ,KAMIL      
A431 ,VUKUS      
A431 ,ILBEK      
A431 ,LUPTA      
A431 ,PUNTO      
A431 ,SBGL       
A431 ,SBCT       
A431 ,SASNU      
A431 ,PNG        
A431 ,VERBO      
A431 ,KIBOG      
A431 ,SBVT       
A431 ,SBBI       
A431 ,ANISE      
A431 ,SBMG       
A431 ,SBCA       
A431 ,CAV        
A555 ,AMP        
A555 ,COLOR      
A555 ,MADRE      
A555 ,OIA        
A555 ,BEL        
A566 ,LET        
A566 ,YTC        
A566 ,ARUA       
A566 ,BUTAB      
A566 ,CLUBE      
A566 ,EMAKE      
A566 ,KENOK      
A566 ,LAUPO      
A566 ,LUSUK      
A566 ,MOZ        
A566 ,NUPAR      
A566 ,PAJE       
A566 ,PUNEN      
A566 ,SBBE       
A566 ,SBJC       
A566 ,SBSN       
A566 ,STM        
A566 ,TFE        
A566 ,BEL        
A566 ,MNS        
A566 ,ACARI      
A566 ,SBEG       
A566 ,ALBOM      
A566 ,ARUKI      
A566 ,BOMAL      
A566 ,BRACO      
A566 ,SBCY       
A566 ,SBIH       
A566 ,SBMN       
A566 ,SBMQ       
A566 ,SBMY       
A566 ,SBPJ       
A566 ,SBPV       
A566 ,SBSL       
A566 ,LIVAB      
A566 ,TESEV      
A566 ,SBTF       
A566 ,SBTT       
A566 ,SBUA       
A566 ,SWPI       
A566 ,SWPY       
A566 ,SWSI       
A566 ,TOSAR      
A566 ,VUMPI      
A566 ,YUB        
A566 ,ILTUG      
A566 ,SNFQ       
A566 ,SNMA       
A566 ,OTONI      
A566 ,SWTS       
A566 ,POPTI      
A566 ,PRIMA      
A566 ,EGIMO      
A566 ,SNOL       
A566 ,SBRB       
A566 ,MASVA      
A566 ,UMLEV      
A566 ,ARUXA      
A566 ,SBMA       
A566 ,SBPI       
A566 ,ASAPA      
A566 ,SIAQ       
A566 ,DIVRA      
A566 ,ILNAM      
A685 ,FILHO      
A685 ,GJM        
A685 ,RBC        
B552 ,CUA        
B552 ,ERP        
B552 ,JURAR      
B552 ,NEGRA      
B552 ,TFE        
B552 ,CZSIM      
B552 ,CZS        
B552 ,KEBOM      
B552 ,SBTF       
B552 ,SBEG       
B552 ,SBPV       
B552 ,SDVO       
B552 ,SWCA       
B552 ,SWEI       
B552 ,OIA        
B623 ,NAMBI      
B623 ,ESGUM      
B623 ,FNO        
B623 ,MEDAL      
B623 ,RAKUD      
B623 ,UBRUT      
B623 ,ISADO      
B623 ,UTRAM      
B623 ,FNR        
B652 ,SWKC       
B652 ,CIA        
B652 ,SMT        
B652 ,VANIA      
B681 ,MNS        
B681 ,BVI        
B681 ,GEMOL      
B681 ,PICOM      
B681 ,SBMA       
B681 ,SBPV       
B691 ,FRA        
B691 ,ESORA      
B691 ,SBRJ       
B691 ,KNOLL      
B691 ,BHZ        
B691 ,CNF        
B691 ,TOGON      
B691 ,PCX        
G443 ,AMP        
G443 ,COLOR      
G443 ,MADRE      
G443 ,OIA        
G443 ,SBOI       
G443 ,BEL        
G443 ,SBMQ       
G443 ,SBTB       
G443 ,SBBE       
G443 ,SWRO       
G443 ,VILUX      
G443 ,ACARI      
G443 ,REBER      
G443 ,DOBDA      
G443 ,ROFIC      
G443 ,SBEG       
G443 ,OSORA      
G443 ,SBIH       
G443 ,SBMA       
G443 ,SBUY       
G443 ,SBPV       
G443 ,SWEI       
G443 ,SBBV       
G443 ,OSIRA      
G443 ,MASVO      
G443 ,SBPJ       
G443 ,SWKO       
G443 ,UMLEV      
G443 ,SBMN       
G443 ,SBRD       
G443 ,SLI        
G449 ,BUVGU      
G449 ,DENOB      
G449 ,SBPJ       
G449 ,SBCX       
G449 ,SBGR       
G449 ,GAB        
G449 ,SBMG       
G449 ,SBBR       
G449 ,SBCF       
G449 ,LITON      
G449 ,MUDNI      
G449 ,TEXAS      
G449 ,SBGO       
G449 ,MOMVA      
G449 ,SICK       
G449 ,UBSUT      
G449 ,ULD        
G449 ,VERME      
G449 ,AMERO      
G449 ,CGO        
G449 ,CLARO      
G449 ,MAVNI      
G449 ,ARX        
G449 ,BGC        
G449 ,EGBAL      
G449 ,EVNUG      
G449 ,KOLKI      
G449 ,KUBVA      
G449 ,KUDIG      
G449 ,MATKI      
G449 ,PADAD      
G449 ,YTZ        
G449 ,PUGOR      
G449 ,COA        
G449 ,BSI        
G449 ,CTB        
G449 ,DAISE      
G449 ,LJS        
G449 ,NIBGA      
G449 ,POR        
G449 ,RDE        
G449 ,SBCT       
G449 ,KEVOP      
G449 ,KOGLI      
G449 ,LIBEC      
G449 ,LUZ        
G449 ,NOVOI      
G449 ,OPRAM      
G449 ,PCL        
G449 ,PMS        
G449 ,SELBO      
G449 ,SIGAT      
G449 ,BRS        
G449 ,CNB        
G449 ,EGBED      
G449 ,SBSP       
G449 ,AMP        
G449 ,CNA        
G449 ,ILPER      
G449 ,ILSAT      
G449 ,INDOB      
G449 ,NALGA      
G449 ,SIGOP      
G449 ,SBCY       
G449 ,ROFIC      
G449 ,SBAM       
G449 ,SBBE       
G449 ,SBIZ       
G449 ,SBJC       
G449 ,SBMQ       
G449 ,SULCO      
G449 ,BEL        
G449 ,MCP        
G449 ,REBER      
G449 ,SAT        
G449 ,GEMUV      
G449 ,GENUS      
G449 ,MASPU      
G449 ,NITBU      
G449 ,PTS        
G449 ,RUSTE      
G449 ,SASNU      
G449 ,SBGL       
G449 ,ISOPI      
G449 ,SWIQ       
G449 ,RONIL      
G449 ,SBKP       
G449 ,DOGSU      
G449 ,NABOL      
G449 ,PNG        
G449 ,PORMI      
G449 ,CXS        
G449 ,SBNF       
G449 ,SSKM       
G449 ,NIMPU      
G449 ,BACON      
G449 ,ENTIT      
G449 ,EVTOB      
G449 ,ILMUR      
G449 ,SBRJ       
G449 ,SBPA       
G449 ,ENACT      
G449 ,MOMDO      
G449 ,SBRP       
G449 ,SBAN       
G449 ,MUDPA      
G449 ,NIDSI      
G449 ,SBEG       
G449 ,SBHT       
G449 ,KOTPA      
G449 ,MASVA      
G449 ,PREGO      
G449 ,SBUA       
G449 ,LOMUT      
G449 ,SBVH       
G449 ,SIAQ       
G449 ,SWFN       
G449 ,SWGN       
G449 ,TOSAR      
G449 ,UMLEV      
G449 ,VAGAN      
G449 ,EGDOD      
G449 ,KILEV      
G449 ,MILIX      
G449 ,SIPOT      
G449 ,OAS        
G449 ,SBLJ       
G449 ,LODUV      
G449 ,GERBO      
G449 ,SBRD       
G449 ,SBSL       
G449 ,FLN        
G449 ,SBCH       
G449 ,JURIS      
G449 ,SWGI       
G449 ,LIVED      
G449 ,VUKAT      
G449 ,CIA        
G449 ,SSGP       
G449 ,VUGMU      
G449 ,ARUKI      
G449 ,SBBI       
G449 ,SSCN       
G449 ,ACARI      
G449 ,MANSI      
G449 ,ETIGU      
G449 ,BROCK      
G449 ,SNCJ       
G449 ,NENIP      
G677 ,COA        
G677 ,BRIDE      
G677 ,MUBOK      
G677 ,VTR        
G677 ,ADA        
G677 ,ATEXO      
G677 ,BITAK      
G677 ,GIDOD      
G677 ,ZURCO      
G677 ,ACJ        
G677 ,CARAM      
G677 ,CONDE      
G677 ,CORAL      
G677 ,CVL        
G677 ,DENDO      
G677 ,DIANA      
G677 ,MCO        
G677 ,MSS        
G677 ,PNB        
G677 ,RAIRA      
G677 ,REC        
G677 ,SAFUC      
G677 ,SVD        
G677 ,UKAR       
G677 ,UKARI      
G677 ,URT        
G677 ,YLH        
G677 ,BFR        
G677 ,CROMO      
G677 ,FLZ        
G677 ,NTL        
G677 ,RATEP      
G677 ,SCR        
G677 ,CPO        
G677 ,ETANO      
G677 ,FLN        
G677 ,ISOM       
G677 ,JUICE      
G677 ,MAC        
G677 ,MIMIR      
G677 ,MRC        
G677 ,OPURI      
G677 ,PAJAM      
G677 ,PATIN      
G677 ,POR        
G677 ,SBCP       
G677 ,SBFL       
G677 ,SBGL       
G677 ,SBME       
G677 ,SBRJ       
G677 ,EUDES      
G677 ,SBVT       
G677 ,XAREO      
G677 ,GRAVE      
G677 ,JANES      
G677 ,MCE        
G677 ,KOGBA      
G677 ,MIA        
G677 ,SAVIO      
G677 ,SBBE       
G677 ,SBSL       
G677 ,SLI        
G677 ,ARU        
G677 ,MCA        
G677 ,SGR        
G677 ,BEL        
G677 ,JPS        
G677 ,SBFZ       
G677 ,SBSV       
G677 ,SNTF       
G677 ,SBCF       
G677 ,ISIRO      
G677 ,TOMBO      
G677 ,MXN        
G677 ,ENACT      
G677 ,OSIRA      
G677 ,BONF       
G677 ,PUCA       
G677 ,SBTC       
G677 ,SJDS       
G677 ,OBLEV      
G677 ,SBNT       
G677 ,VUNOK      
G677 ,DAEL       
G677 ,DOGSU      
G677 ,SBFN       
G677 ,SBGV       
G677 ,SBJP       
G677 ,SBTE       
G677 ,SNMU       
G677 ,SNNU       
G677 ,MANDU      
G677 ,SBSG       
G677 ,ISILA      
G677 ,SJCM       
G677 ,IMBES      
G677 ,SWFH       
G677 ,SNJD       
G677 ,AVILA      
G677 ,JAMO       
G677 ,SBKG       
G677 ,OSABI      
G677 ,VUTNO      
G677 ,SBIL       
G677 ,SBAR       
G677 ,POSMU      
G677 ,RUBIC      
G677 ,SBLE       
G677 ,SBRF       
G677 ,SBJI       
G677 ,TFE        
G678 ,SBSP       
G678 ,CROWD      
G678 ,KOKLO      
G678 ,PUKIL      
G678 ,SBBR       
G678 ,SWRD       
G678 ,SBGP       
G678 ,SNFA       
G678 ,MOMVA      
G678 ,TRM        
G678 ,VURKI      
G678 ,XINGU      
G678 ,ASONO      
G678 ,BOTOM      
G678 ,BSCWK      
G678 ,EDNAR      
G678 ,SBCY       
G678 ,VAKUS      
G678 ,NALGA      
G678 ,TRIGO      
G678 ,CNF        
G678 ,BHZ        
G678 ,BSI        
G678 ,CTB        
G678 ,EGBAR      
G678 ,ELANU      
G678 ,LONET      
G678 ,MRC        
G678 ,OTAGA      
G678 ,PAI        
G678 ,PNG        
G678 ,RDE        
G678 ,REPET      
G678 ,RIOH       
G678 ,SBBH       
G678 ,SBBI       
G678 ,SBCF       
G678 ,SBGL       
G678 ,SBJR       
G678 ,SBMT       
G678 ,MILIX      
G678 ,MOLTI      
G678 ,PAPES      
G678 ,PROVE      
G678 ,EGOLA      
G678 ,SBRJ       
G678 ,SBSC       
G678 ,SJC        
G678 ,USABA      
G678 ,AKTUM      
G678 ,ATF        
G678 ,BRS        
G678 ,BVI        
G678 ,FELIX      
G678 ,JAC        
G678 ,KORPO      
G678 ,LDP        
G678 ,BBC        
G678 ,ILBER      
G678 ,AGURI      
G678 ,MIA        
G678 ,EKUBA      
G678 ,TOMBO      
G678 ,MNS        
G678 ,SIPOX      
G678 ,TELOS      
G678 ,MABMA      
G678 ,EGBES      
G678 ,ESIGI      
G678 ,KOGDI      
G678 ,NIMKI      
G678 ,REMIG      
G678 ,MALMI      
G678 ,SBGO       
G678 ,SBGR       
G678 ,UGULO      
G678 ,ARMUK      
G678 ,DARBA      
G678 ,EGIMO      
G678 ,SBEG       
G678 ,SBEK       
G678 ,SBHT       
G678 ,SBMN       
G678 ,SBPJ       
G678 ,SBTB       
G678 ,SBAT       
G678 ,SBBE       
G678 ,SBBV       
G678 ,SBCC       
G678 ,ARUXA      
G678 ,ISIBI      
G678 ,SWYN       
G678 ,UMLEV      
G678 ,ORATE      
G678 ,SWSI       
G678 ,OBDOG      
G678 ,SBKP       
G678 ,SWFN       
G678 ,PADAV      
G678 ,POVNI      
G678 ,ETIGU      
G678 ,ISOPI      
G678 ,LUVSU      
G678 ,VAGAN      
G680 ,BGE        
G680 ,TULIO      
M653 ,KILOL      
M653 ,KOVKO      
R563 ,CAV        
R563 ,GEBUN      
R563 ,LADER      
R563 ,POR        
R563 ,FOZ        
R563 ,JAUNT      
R563 ,MAGNA      
R563 ,SBCA       
R563 ,SBPA       
R563 ,SBRJ       
R563 ,EAGLE      
R563 ,OAS        
UA300,ANBIX      
UA300,BVI        
UA300,ESLEV      
UA300,GEDIX      
UA300,ILNIG      
UA300,KEVUP      
UA300,MNS        
UA300,PAKON      
UA300,SIPOX      
UA300,DIVRA      
UA301,VILUX      
UA301,LET        
UA301,NEGRA      
UA301,PALIO      
UA301,RBC        
UA301,SPRIN      
UA301,ERODO      
UA301,VUKEB      
UA301,PUKLA      
UA301,SBCY       
UA301,ISARA      
UA301,MABMA      
UA301,SIMIP      
UA301,RCO        
UA301,TENUG      
UA301,ABIDE      
UA301,ACARI      
UA301,ALVAR      
UA301,ARMUK      
UA301,ARTIK      
UA301,ARUXA      
UA301,ASAPA      
UA301,ASOLA      
UA301,AZOIC      
UA301,BINAS      
UA301,BIVUT      
UA301,BLOTA      
UA301,BOMAL      
UA301,CIA        
UA301,CITRA      
UA301,DADEL      
UA301,DAPTA      
UA301,DOBDA      
UA301,DOGLO      
UA301,DOKVA      
UA301,DOMGA      
UA301,DOTKI      
UA301,EGIMO      
UA301,ENRUS      
UA301,SBCZ       
UA301,SBEG       
UA301,SBEK       
UA301,SBHT       
UA301,SBJC       
UA301,SBMA       
UA301,SBMN       
UA301,SBMQ       
UA301,SBMY       
UA301,SBPV       
UA301,SBRB       
UA301,SBSL       
UA301,SBSN       
UA301,SBTB       
UA301,SBTE       
UA301,ESBUK      
UA301,ESTER      
UA301,ILKOK      
UA301,IVPON      
UA301,KILEV      
UA301,KOKBO      
UA301,LIMPO      
UA301,LIVAB      
UA301,LONAS      
UA301,MALDO      
UA301,MALMI      
UA301,MANSI      
UA301,MEVOS      
UA301,MIGOB      
UA301,MIPAD      
UA301,MITU       
UA301,MOLPA      
UA301,MOMSO      
UA301,MUBGI      
UA301,OBLEV      
UA301,OIA        
UA301,OSORA      
UA301,PAKON      
UA301,PMS        
UA301,POPTI      
UA301,POSKA      
UA301,POVLA      
UA301,POXUM      
UA301,PUDBU      
UA301,SBBE       
UA301,SBBV       
UA301,SBCC       
UA301,CJS        
UA301,STM        
UA301,VLH        
UA301,ARVOT      
UA301,ILSUB      
UA301,RON        
UA301,SASNU      
UA301,SBPJ       
UA301,SIRJ       
UA301,GRAFO      
UA301,KEVAD      
UA301,SBTF       
UA301,SBTT       
UA301,SBUY       
UA301,SELVA      
UA301,SIAQ       
UA301,SIGAX      
UA301,SIGOB      
