Fix,Latitude,Longitude
ABAE,S 14 15 54.00,W 039 08 13.80
ABASE,S 05 43 48.60,W 037 46 10.20
ABATE,S 14 23 28.20,W 058 50 13.80
ABEAR,S 26 26 04.80,W 049 39 05.40
ABELA,S 30 53 40.80,W 052 18 24.60
ABIDE,N 00 40 42.60,W 069 41 16.80
ABOC,S 29 55 48.60,W 051 23 04.20
ABODE,S 13 45 51.00,W 038 51 18.00
ABSAL,S 21 55 18.00,W 043 21 25.20
ABUCU,S 04 35 10.20,W 039 08 04.80
ABUSE,S 18 15 27.60,W 051 28 09.60
ACARI,N 01 57 25.80,W 056 29 20.40
ACME,S 28 30 12.60,W 052 34 23.40
ACOR,S 25 31 20.54,W 049 04 34.15
AC001,S 04 33 42.52,W 038 01 23.02
AC002,S 04 39 15.29,W 038 02 56.80
AC003,S 04 42 37.53,W 037 58 17.21
AC004,S 04 37 36.09,W 037 58 13.09
AC006,S 04 34 57.31,W 037 50 39.21
AC008,S 04 35 56.86,W 037 53 29.41
AC016,S 04 30 42.36,W 038 01 44.94
AC017,S 04 21 27.01,W 038 17 55.11
AC018,S 04 17 14.61,W 037 55 59.13
AC271,S 04 25 38.24,W 037 38 19.38
AC272,S 04 29 00.32,W 037 33 39.76
AC273,S 04 34 33.15,W 037 35 13.32
AC274,S 04 30 39.68,W 037 38 23.36
AC276,S 04 33 18.59,W 037 45 57.16
AC278,S 04 32 19.01,W 037 43 06.97
ADAS,S 29 34 58.20,W 051 14 10.20
ADEMI,S 10 33 12.00,W 039 48 58.20
ADIX,S 03 02 14.40,W 058 01 56.40
ADOLF,S 11 45 36.00,W 038 21 01.80
ADRA,S 00 00 25.20,W 066 40 59.40
ADRO,S 24 14 40.20,W 053 48 15.00
AERON,S 09 34 40.80,W 068 32 21.60
AE001,S 21 54 44.40,W 049 12 03.00
AE002,S 22 27 17.40,W 049 17 30.60
AE003,S 22 00 46.80,W 049 15 38.40
AE004,S 22 00 08.40,W 049 09 13.20
AE006,S 22 04 39.00,W 049 06 51.00
AE007,S 22 24 33.00,W 048 56 21.60
AE009,S 22 18 30.00,W 048 52 46.80
AE011,S 22 19 08.40,W 048 59 13.20
AE012,S 22 14 38.40,W 049 01 35.40
AE014,S 21 55 48.00,W 049 04 44.40
AE016,S 22 06 27.00,W 049 05 54.00
AE017,S 22 05 22.80,W 048 46 33.00
AE022,S 22 12 50.40,W 049 02 32.40
AE023,S 22 17 23.40,W 048 57 04.80
AE024,S 22 20 40.80,W 048 51 39.60
AE026,S 22 13 46.80,W 048 51 54.00
AFIM,S 10 37 20.40,W 064 59 04.80
AFS01,S 22 55 50.06,W 043 23 21.47
AFTER,S 16 44 30.60,W 045 42 31.20
AGENT,S 20 00 59.40,W 055 37 11.40
AGIL,S 07 48 21.00,W 072 21 59.40
AGTAL,S 02 46 53.40,W 059 30 31.80
AGUA,S 23 05 24.60,W 042 17 06.60
AGURI,S 27 07 42.60,W 048 40 32.40
AJAX,S 30 03 47.40,W 050 51 28.20
AJIB,S 12 22 28.20,W 060 24 37.80
AKNEG,S 20 10 33.12,W 040 14 37.54
AKNEN,S 32 00 27.60,W 053 53 14.40
AKNIK,S 26 02 48.51,W 048 21 31.03
AKNOD,S 09 45 59.81,W 067 46 39.17
AKNOV,S 00 50 33.00,W 065 20 46.80
AKNUB,S 24 29 39.00,W 044 34 22.80
AKPAR,S 30 07 46.80,W 051 05 16.20
AKPOD,S 32 27 57.00,W 053 33 40.80
AKPOG,S 25 15 49.22,W 049 09 01.17
AKPUS,S 09 28 11.40,W 056 38 51.00
AKPUV,S 19 25 53.22,W 044 00 53.13
AKRAP,S 23 21 14.40,W 051 04 09.60
AKRAR,S 19 43 32.92,W 044 16 37.21
AKRAT,S 27 42 09.01,W 048 28 58.84
AKREL,S 29 58 51.13,W 050 36 52.60
AKREM,S 07 44 41.37,W 050 13 55.82
AKRIG,S 26 24 14.28,W 049 58 10.28
AKRIL,S 17 39 45.67,W 055 38 55.40
AKROX,S 20 16 30.60,W 054 07 19.80
AKRUG,S 26 58 30.41,W 049 50 32.85
AKSAB,S 09 00 03.54,W 063 45 57.19
AKSEB,S 26 06 06.75,W 048 27 32.35
AKSEP,S 21 08 13.82,W 040 45 37.34
AKSIN,S 13 37 19.20,W 039 35 55.20
AKSIP,S 29 50 51.26,W 051 16 30.03
AKSON,S 09 43 36.60,W 054 44 26.40
AKSUL,S 22 33 00.00,W 055 47 10.20
AKTAD,S 29 42 06.60,W 053 51 57.60
