CODE,FLIGHTNUMBER,ADDEP,ORIGEM,ADDES,DESTINO,DATA,ROUTE,FIXOENTRADA,FIXOSAIDA,NIVEL
PTEIDSBTTSWII,PTEID,SBTT,TABATINGA,SWII,SANTOANTÔNIODOIÇÁ,01-AUG-1508.13.48.000000000PM,DCT AU006 H323,R117,ETA,F160
PTWOESBCYSWIL,PTWOE,SBCY,CUIABÁ,SWIL,PEDRAPRETA,01-AUG-1504.00.00.000000000PM,DCT H309 ML003,R146,ML003,F180
PTLNUSBCYSWJN,PTLNU,SBCY,CUIABÁ,SWJN,JUÍNA,01-AUG-1503.10.12.000000000PM,CT JNV DCT,TMA,ETA,A005
PTVBHSBCYSWJN,PTVBH,SBCY,CUIABÁ,SWJN,JUÍNA,01-AUG-1505.15.00.000000000PM,DCT,MOMVA,ETA,F160
PTFJASWSDSWJN,PTFJA,SWSD,ARAGUAIANA,SWJN,JUÍNA,01-AUG-1508.40.12.000000000PM,DCT,SDWQ,SNCJ,A025
PRVMJSBCASWJW,PRVMJ,SBCA,CASCAVEL,SWJW,JATAÍ,01-AUG-1502.45.00.000000000PM,EA 2354S05035W/N0170F115 DCT P,TMA,ETA,F095
PRVOOSBCYSWKC,PRVOO,SBCY,CUIABÁ,SWKC,CÁCERES,01-AUG-1502.43.48.000000000PM,DCT,SDWQ,SNCJ,A025
PRSIGSWPYSWKG,PRSIG,SWPY,PRIMAVERADOLESTE,SWKG,NOVAUBIRATÃ,01-AUG-1511.00.00.000000000AM,DCT,SDWQ,SNCJ,A025
PTEZOSBEGSWKO,PTEZO,SBEG,MANAUS,SWKO,COARI,01-AUG-1501.15.00.000000000PM,CT JNV DCT,TMA,ETA,A005
PTVKBSWFNSWKO,PTVKB,SWFN,MANAUS,SWKO,COARI,01-AUG-1503.13.00.000000000PM,DCT,MOMVA,ETA,F160
PTREISWFNSWKO,PTREI,SWFN,MANAUS,SWKO,COARI,01-AUG-1512.40.00.000000000PM,DCT,MOMVA,ETA,F160
